<DOC1>	至于耗油量较高，是和车的总体质量有关系的。</DOC1>
<DOC315>	最好在买车前了解一下旧车市场哪些车比较值钱。</DOC315>
<DOC316>	你什么时候能给个价?</DOC316>
<DOC317>	你说红旗要想挽回面子，不用日本车用什莫？</DOC317>
<DOC318>	陆风的车身完全和JMC皮卡一样，只是增加了个后盖`越野前悬架`24`5越野轮胎`下车身塑料护板。</DOC318>
<DOC319>	越野时间应该不多，大多时间走不开。</DOC319>
<DOC320>	领航者最近好像只卖八万多一点。</DOC320>
<DOC321>	座椅的舒适度也很好，开车开久了，都不会累。</DOC321>
<DOC322>	我以前也没开过什么好车，最起码比先前的雅阁要好多了，各方面。。。</DOC322>
<DOC323>	总结：路况不好，油耗增加的很迅速；驾驶太温柔，油耗也会偏高；高速低转速，才是省油的根本。</DOC323>
<DOC324>	李氏说：“奥迪A6是知识精英的流动工作室。</DOC324>
<DOC325>	你们的目的是什么呢？</DOC325>
<DOC326>	洗车费每年少说也得花个200元；</DOC326>
<DOC327>	从配置上看，国产标致307与海外版本十分，接近，均搭配了直列四缸16气门2.0L发动机。</DOC327>
<DOC328>	我们可以打赌，十一之前至少降2万。</DOC328>
<DOC329>	有车迷想聊找我QQ67821109</DOC329>
<DOC330>	然后就是考虑十几万的车，日本车直接pass了，只是半路上还看了下马六，其他直接没有考虑。</DOC330>
<DOC331>	我的小幸快到4000公里了，感觉还不错！</DOC331>
<DOC332>	有什么好办法降低噪音，比如换好的机油、好的轮胎之类的，如过做全车隔音，效果好吗？</DOC332>
<DOC333>	冷车启动后，从地下停车场上坡时，君威3.0发动机比帕萨特１．８Ｔ手自一体轻松。</DOC333>
<DOC334>	这类公道话李泽楷已说了，他就选择了A6，当然是德国原版，品质要比一汽的高。</DOC334>
<DOC335>	一份耕耘就有一份收获，JAC的特色服务终于获得了消费者的信赖和相关国家机关的认可。</DOC335>
<DOC336>	在驾驶途中，发现这款车如同大众所有品牌一样提速从容，1.6速自动变速箱搭配该车应该说匹配非常到位。</DOC336>
<DOC337>	现在的问题是要赶上潮流，安全和内饰设计。</DOC337>
<DOC338>	1初开时感觉动力很软,提速一般,但后面基本改变了这样的认为,在驾驶途中,这款车如同所有品牌一样.</DOC338>
<DOC339>	日本人在中国挣了二十多年车钱也该歇歇了吧。</DOC339>
<DOC340>	第二，从动力系统来看，福美来2代新增了一款TRITEC1.6L发动机，性能较老款发动机有所提高。</DOC340>
<DOC341>	请坛里的高手赐教下！</DOC341>
<DOC342>	一是这车的技术指标很适合中国国情：80升的油箱，配以7-9升/百公里的油耗，很适合跑长途。</DOC342>
<DOC343>	我对1.8排量感兴趣，但看到坛子里的TX说1.8动力可能偏弱，我想谈谈我的观点。</DOC343>
<DOC344>	车的内饰做工明显好于第一批我看到的车，我的车的生产日期为4。</DOC344>
<DOC345>	尊驰山路行10月29日，与同事相约驾车出游。</DOC345>
<DOC346>	这种轮胎在高速行驶中不易聚热，当轮胎受到钉子或尖锐物穿破后，漏气缓慢，可继续行驶一段距离。</DOC346>
<DOC347>	论底盘，小7和佳宝绝对不在一个档次。</DOC347>
<DOC348>	走进车里，内饰风格与老款相同，内饰用料塑料质感过重，档次不高，而方向盘上仍沿用马自达标志，与车身有点不协调。</DOC348>
<DOC349>	你太大意了，算是交学费吧，你闹也没有用！</DOC349>
<DOC350>	因为年底前想买车，所以现在一直在打听，希望知道的人士不要欺瞒我这个新手，拜托了。</DOC350>
<DOC351>	请我们的汽车生产厂家争口气吧!</DOC351>
<DOC352>	再看外观，看有没有损伤/补漆。</DOC352>
<DOC353>	凯越就是这样，所以被人说费油。</DOC353>
<DOC354>	9月份一汽丰田销量突破1万辆，创造了国产丰田品牌汽车单月销售的最高纪录。</DOC354>
<DOC355>	总结：整体还算满意，开车技术有待提高，第一目标控制平均市区油耗11L，希望和大家多交流。</DOC355>
<DOC356>	图个便宜，买了豪情靓星34500自动版。</DOC356>
<DOC357>	我相信每位想买车的车友，对看中的第一款车，都是先到“留言拦”里先了解此车的情况的吧！！！！</DOC357>
<DOC358>	北美的日车价格低，但是配件比本土的贵很多，但是因为质量好，很少坏，所以还不是很显。</DOC358>
<DOC359>	这应当说是红旗内部体制的严重问题。</DOC359>
<DOC360>	看来还不能说是商家“心黑”，因为进口车加上巨额关税无法与奥迪竞争，一般进口车就品质而论也难以与一汽奥迪A6竞争。</DOC360>
<DOC361>	如果不是飚车的话，完全够用了。</DOC361>
<DOC362>	我们看看所谓的“05款”给我们带来了什么？</DOC362>
<DOC363>	自己装了低音炮，和高音喇叭后感觉效果还不错。</DOC363>
<DOC364>	然而这古董去还在卖！</DOC364>
<DOC365>	听4S店的人说,减震器是普遍问题,可是不见改进.减震器的九鼎科技想必是瑞风老板的亲戚吧.</DOC365>
<DOC366>	开了一年2.5tdi,感觉不错。</DOC366>
<DOC367>	3、牌照架：新宝来的牌照架设计在保险杠下面，很不显档次，跟过去夏利车一样。</DOC367>
<DOC368>	说实话，你投诉维修厂是没用的！</DOC368>
<DOC369>	现在说说使用感受吧,和网友们交流.</DOC369>
<DOC370>	真正懂车的人都知道，最重要的是只要叫个越野车，如果没有差速锁，那就不能称其为真正的越野车。</DOC370>
<DOC371>	至于老红旗，在当时根本无法去了解它，神秘。</DOC371>
<DOC372>	相对的说说缺点：华利与夏利比较：1、车内空间大，但车子高且窄，好像高速稳定性不如夏利。</DOC372>
<DOC373>	我想我的爱车总不能外看像朵花，里看豆渣吧。</DOC373>
<DOC374>	总体上来说，变化不大，我不知道花好几亿改了个外型效益在什么地方，还是只图个新鲜感？？？</DOC374>
<DOC375>	我看了夏利和吉利的发动机，基本上一样的。</DOC375>
<DOC376>	为了实现多功能，车内后两排坐椅，可以实现多方向调整，比如360度旋转，完全折叠收起等。</DOC376>
<DOC377>	紧接着一辆白色中华轿车从我身边疾驰而过。</DOC377>
<DOC378>	最近打算买车，对比了多种车型后，根据自身经济实力，初步打算出手雪佛兰爱唯欧1.4手动挡。</DOC378>
<DOC379>	最近气温已经是零下25度左右了，宝来的后减震和前减震胶敦有异响，所以去了4S检查一下。</DOC379>
<DOC380>	低速噪音稍大，正常行驶与汽油机相差不大，完全可以接受。</DOC380>
<DOC381>	其他：底盘似乎没有达到15cm；</DOC381>
<DOC382>	另者，并非对奥迪说好就是“托”。</DOC382>
<DOC383>	这款车不错，发动机和底盘均为原装。</DOC383>
<DOC384>	我将于这个星期六带钱去买，车型和你的一样。</DOC384>
<DOC385>	我相信这些人是发烧,脑子给烧坏了!</DOC385>
<DOC386>	奔驰S是舒适性最好的车，同级别宝马7，奥迪A8和凌志400（430）等在舒适性上都有差距。</DOC386>
<DOC387>	试车过程中，离合器略低时总有要熄火的感觉。</DOC387>
<DOC388>	希望旗云不要真像世界屋脊的云离老百姓太远！</DOC388>
<DOC389>	因为这是华宝一站式服务里面的，怕有啥说法。</DOC389>
<DOC390>	又安全、功能又全、安全也没问题。</DOC390>
<DOC391>	目前正在各个论坛潜水，纠结年底买什么车好。</DOC391>
<DOC392>	完全坡下起步，无任何冲坡现象！</DOC392>
<DOC393>	难道不知道我们的公公仆命有多贵吗？</DOC393>
<DOC394>	我们也可以理解（但方法有待磋商）。</DOC394>
<DOC395>	别忘了两年前你和富康是同一类车。</DOC395>
<DOC396>	试车报告在国内轿车市场，民族自主品牌红旗似乎已经不是那么引人注目，沉寂了相当一段时间。</DOC396>
<DOC397>	我能不能说铃木抢了陆风的生意?</DOC397>
<DOC398>	内饰用料要在精细一些，毛刺、味道都要少；</DOC398>
<DOC399>	我刚买了辆2.0T的还加了3000元才拿到车，4S店说可以帮我加套真皮，说是原厂的！</DOC399>
<DOC400>	一年的养路费是12X120＝1440元；</DOC400>
<DOC401>	于是，我必须选择前后有摄像的车。</DOC401>
<DOC402>	动力还可以，但和宝来比还是有一点区别。</DOC402>
<DOC403>	宝来1.8T的发动机与帕萨特1.8T的一模一样。</DOC403>
<DOC404>	另外耗油大，城区12升/公里。</DOC404>
<DOC405>	裸车到60了抢钱啊！</DOC405>
<DOC406>	大众5V发动机采用了一个奇怪而愚蠢的设计，水泵是由正时皮带带动的，因此正时皮带的受力和负荷比别的发动机高数倍，寿命自然大减。</DOC406>
<DOC407>	有些感受只有自己去试了才好评价啊。</DOC407>
<DOC408>	那速度决不下200公里/小时。</DOC408>
<DOC409>	这样算来百公里6.7585升，我们这里97#8.37元一升啊，平均0.565元每公里.</DOC409>
<DOC410>	开春大概能7以下，东北的天冷啊。</DOC410>
<DOC411>	我再强调一点：M6的维修服务确实令人担忧。</DOC411>
<DOC412>	走山路（蓝田葛牌）油耗6.6l/100km。</DOC412>
<DOC413>	以前没开过什么好车，这个车开着挺不错的。</DOC413>
<DOC414>	最好一汽大众能够报出个最低买价.</DOC414>
<DOC415>	上过山，下过沟，那个质量实在是好。</DOC415>
<DOC416>	要不然就是GOA安全车身没接轨?</DOC416>
<DOC417>	手动车开车不要把手长放在档棍上：一直放习惯了，原来压力会磨损下面的不知叫什么叉的元件。。</DOC417>
<DOC418>	所以现在骂也没用，还是心气平和对待市场吧。</DOC418>
<DOC419>	其他：噪声偏大（本人不太介意）；</DOC419>
<DOC420>	譬如说“四个24小时“服务承诺。</DOC420>
<DOC421>	前天傍晚，看到前面的一台车刹车的时候左边的尾灯不亮，心里道下车查查自己的；一查。。。</DOC421>
<DOC422>	我好高兴呀，我准备８月份就买它了！</DOC422>
<DOC423>	我感觉各有各的好处，总的说小幸不错，性价比挺好，最低37800元，高配置49800元，值！</DOC423>
<DOC424>	这还是已经国产的车型，进口车就更不用说了。</DOC424>
<DOC425>	领航者只有8万多元，买的人也多。</DOC425>
<DOC426>	踏板是挨近的，---赛欧典型的缺点之一。</DOC426>
<DOC427>	小弟最近打算购买一辆，但不知道该款车的性能、动力、安全性以及油耗方面表现怎么样？</DOC427>
<DOC428>	明年这个时候或者下半年，肯定还要往下降。</DOC428>
<DOC429>	总共花费了568元，4S店的服务态度不错。</DOC429>
<DOC430>	现在只是一个开端，所有车厂都努力生产和销售合理价位的汽车，美好的生活就在不远的将来！</DOC430>
<DOC431>	尾部则是更多的吸收了大众迈腾的基因，包括车灯及后备箱门处，远处看起来像是一部小号的迈腾。</DOC431>
<DOC432>	希望大家发表自己看法,说出真实的话</DOC432>
<DOC433>	我驾驶过其他不少车型，与宝来的感觉不是一个档次。</DOC433>
<DOC434>	综合种种考虑，最后就择定A61.8T。　　我个人感想：奥迪A61.8T手排是40万以内最佳选择。</DOC434>
<DOC435>	面市到现在有100多万辆车，成熟、可靠。</DOC435>
<DOC436>	去掉3000补贴，全部弄好89300米。</DOC436>
<DOC437>	一直不相信车上的油耗，无法评价油耗，但我知道小车肯定比大车省；</DOC437>
<DOC438>	至少到目前为止，诺大北京城不曾摆上一辆样车！</DOC438>
<DOC439>	在另外一种按照不同品牌进行的满意度调查中，丰田的凌志获选最受欢迎车型。</DOC439>
<DOC440>	前排太矮，我这么小的个子都觉得矮，没办法！</DOC440>
<DOC441>	你是猪马店的也难得！</DOC441>
<DOC442>	所以，以偏概全不是平和讨论对话应取的方法。</DOC442>
<DOC443>	我自己的车是AUDIA6，感觉这两种车风格是不同的，BMW更激情，AUDI更沉稳。</DOC443>
<DOC444>	人还是要热爱生命的。</DOC444>
<DOC445>	连起码的自信都没有，和来自尊！</DOC445>
<DOC446>	总而言之，华而不实，在没有比瑞风毛病多的车了。</DOC446>
<DOC447>	其它的一些就是配置方面的比如一键式开启尾箱油箱按钮、发动机电子防盗这类的，就不再多说了。</DOC447>
<DOC448>	请问准车主豪华型的使者多少钱。</DOC448>
<DOC449>	至于助力转向，男人车小无所谓。</DOC449>
<DOC450>	我的座骥是MR6370A1,乘坐舒适，操控灵活，动力强劲，稳定可靠，本人十分喜欢。</DOC450>
<DOC451>	一款车，总会有人说好有人说不好！</DOC451>
<DOC452>	要安全的买安全的车，当然配置肯定不会有了。</DOC452>
<DOC453>	中国人对鲜红色的旗帜是很有感情的！</DOC453>
<DOC454>	1和迈腾相比，325起步不如迈腾，迈腾的涡轮增压不是吹的，起步绝对比325快。</DOC454>
<DOC455>	最大功率可达68KW/6000rpm；最大扭矩可达115N.m/3000-5000rpm。</DOC455>
<DOC456>	如果你想在城市大街小巷穿梭，闲时到乡郊小路散步，但不想玩得过火的话，赛弗是值得的。</DOC456>
<DOC457>	去订车的时候，是打算定时尚型。</DOC457>
<DOC458>	虽然，我也去过维修站修车，但他们态度很好，虽然他们发现我的车好象每天都在非正常行使……</DOC458>
<DOC459>	噪音，比较满意，80码以上，有点突出，但不超100码基本还行，悄悄话也不是很影响的。</DOC459>
<DOC460>	南北大众合计销售汽车99037辆，还不及去年一季度上海大众一家的销量。</DOC460>
<DOC461>	如一汽新捷达高价入市，肯定一败涂地！！！</DOC461>
<DOC462>	另外内部空间和后备箱的空间都很令人满意。</DOC462>
<DOC463>	油箱里有时有气体知道吗？？？？？？？？？？？</DOC463>
<DOC464>	实际上是RevoTechnik。</DOC464>
<DOC465>	我走进该车箱内，仔细观察千里马。</DOC465>
<DOC466>	现在机器还算是结实，还能跑时速120公里。</DOC466>
<DOC467>	挣3W不少了呀)二:严把质量关.(我开朋友的那车.方向机很响,电动窗不灵)三:开发新款.</DOC467>
<DOC468>	虽说是1.6手豪但感觉和我朋有的老宝来1.8感觉相似。</DOC468>
<DOC469>	老3系，宝马操控性的代表，现在搞活动，优惠幅度非常大，但是马上要换代了，现在买，不明智。</DOC469>
<DOC470>	最高时速170也敢叫跑车？？？</DOC470>
<DOC471>	声音很吓人，感觉前面的避震快要断了一样。</DOC471>
<DOC472>	配件也会便宜些的）在这三者间一直徘徊，啥时候暂中国能出些真的不让国人烦心的车呐。</DOC472>
<DOC473>	真不明白，中华定位于官车，却连个气囊都没有！</DOC473>
<DOC474>	中华车为什么销售不好呢??????</DOC474>
<DOC475>	内饰不好,太粗槽了!</DOC475>
<DOC476>	宝马530，最难看的车型，被评为最差车型！</DOC476>
<DOC477>	赛欧典型的缺点之一。</DOC477>
<DOC478>	虽然没看清楚，估计是著名的ASR那灯了。</DOC478>
<DOC479>	捷达是大众在美国市场最畅销的车型，保证了其在美国“第一欧洲品牌”的地位。</DOC479>
<DOC480>	桑塔那原名帕萨特，所以属于B级车；</DOC480>
<DOC481>	哪知车越看越高，正好看到后来看的那款车旁边就是别摸我，就顺便，真的是顺便去试驾了一下。</DOC481>
<DOC482>	上作业，另外加钥匙和发动机仓照片，求认证。</DOC482>
<DOC483>	那个脑呆进水的猪把它想出来的！</DOC483>
<DOC484>	我觉得不太可能这里有不清楚的地方。</DOC484>
<DOC485>	总的来说这款车不行。小日本太黑。</DOC485>
<DOC486>	在Mazda62.0L豪华型正式上市以前，一汽轿车在全国五个城市举行了媒体试车系列活动。</DOC486>
<DOC487>	可那个发动机的噪音跟咱小三比那真是半斤对八两啊！</DOC487>
<DOC488>	要这样算，按该车在城里跑，每百公里耗油15升计算，每消耗150升油，将消耗1.5升机油。</DOC488>
<DOC489>	细谈新宝来的可爱细节买车月余，朝九晚五朝夕相伴，对这款新新宝来的内饰修为也算略有感知。</DOC489>
<DOC490>	如不相信本人的电话0579-3587688</DOC490>
<DOC491>	提车一月有余了，总结下缺点，给后来者参考。</DOC491>
<DOC492>	看这外形，线条流畅，车身妩媚。</DOC492>
<DOC493>	陆风刚起步，作为一家汽车企业很多地方确实不近人意，但是也要漫漫来，很多事情才刚开始！</DOC493>
<DOC494>	油耗平均8个，不知道磨合后怎么样。</DOC494>
<DOC495>	说心里话我是喜欢大王子，但是他的价格让我犹豫，不就是保有量多，维修方便，配件便宜嘛！</DOC495>
<DOC496>	外进气/内循环拨杆太紧，还没去整；</DOC496>
<DOC497>	满意之处：1、方向的指向性很强。</DOC497>
<DOC498>	一共出现过两次，想请高手指点一二。</DOC498>
<DOC499>	其余时间动力没啥觉得不足的（3个人带空调，换着试驾，都觉得动力够了，舒适感和空间不错）。</DOC499>
<DOC500>	那天基本满载，4大人一小孩，不知道是不是开了空调，或者是还没过磨合期的缘故，请大虾指教。</DOC500>
<DOC501>	奥迪的前后排空间表现最好，而宝马和奔驰的后排空间就显得有些狭窄。</DOC501>
<DOC502>	我明天准备去定一款白色1.1什的三缸机.</DOC502>
<DOC503>	所以我总共应该是用了350元的油，行驶了610公里，平均大约0.574元每公里。</DOC503>
<DOC504>	在这个前提下，气囊可以进一步减少小的伤害。</DOC504>
<DOC505>	想买马6轿跑的兄弟必看：因为此前比较关注这一款车，再加本人喜欢自己开车，不喜欢坐车。</DOC505>
<DOC506>	你说谁敢开和坐这么可怕的车呢？</DOC506>
<DOC507>	再有你自己必须主动到前台去问修没修好，不然服务人员一辈子不会主动告诉你已经修好了。</DOC507>
<DOC508>	你要是买了捷达一定要把车辆的自燃险上了。</DOC508>
<DOC509>	请哪个高人指点指点，在此谢过！</DOC509>
<DOC510>	然道就因为奥迪的高转特性导致机油损耗过大？</DOC510>
<DOC511>	与之比较、红旗旗舰的鬼脸的四框宽度都一样。</DOC511>
<DOC512>	我的三三每一个车，都是有感情的。</DOC512>
<DOC513>	而现在由于配件等方面原因，M6的性价比与上述几种车已经不相上下，且各有各的特长。</DOC513>
<DOC514>	为了让你买了车后免得被人笑"傻瓜"....</DOC514>
<DOC515>	优点：1、感觉车还是非常扎实，2、操控还行。</DOC515>
<DOC516>	可没想到你们很快再次让中国人寒心了，既然你要再耐着寂寞20年继续成为别人的组装厂家。</DOC516>
<DOC517>	上面有位DX问使者、北斗星、夏利7101A、夏利7101UA那个更实用，想用来代步！</DOC517>
<DOC518>	买车就买四驱，赛弗的四驱技术到底行不性？</DOC518>
<DOC519>	07年买的2.0超豪华，几年下来，觉得马六还是在20万车型里操控最好的。</DOC519>
<DOC520>	马力偏少，有小马拉大车的感觉，起油很慢。</DOC520>
<DOC521>	没行车自动落锁，要自己手动锁。</DOC521>
<DOC522>	同时，510L的超大容积后备箱较之福美来2代的416L，为假日喜爱出游的你提供了足够的储物空间。</DOC522>
<DOC523>	最好有ABS，刹车要好这个问题网上已经提了好多次了，竞技者厂家庆铃没有任何反应，很可怕。</DOC523>
<DOC524>	约为12万元（1.43万美圆），在中国却以高达26万元的高价出售，还要加价，简直是无耻。</DOC524>
<DOC525>	外地准现车，付款后10多天到的车，只在4S加了个鲨鱼鳍，含喷漆安装，819.19元。</DOC525>
<DOC526>	再看看我国的汽车工业，纯本土化的东西可能已经不多了，大家总不能去买130或者212吧？</DOC526>
<DOC527>	一汽还是一汽，不要在这里动肝火！</DOC527>
<DOC528>	由此可见北吉在04年的汽车市场上又将掀起一阵热潮，在SUV和轿车市场上演“双枪”绝技。</DOC528>
<DOC529>	新的发动机系列将健全中华品牌车型的自主性。</DOC529>
<DOC530>	这样讲，小四风光了这么多年，你才拉长，加套。</DOC530>
<DOC531>	现场操作，整个过程45分钟左右。</DOC531>
<DOC532>	去年的时候准备给领导买个车，当时想买个10万左右的算了，就去看了FOCUS之类的。</DOC532>
<DOC533>	我是最该买JD的，小区对门就是JD的4S店。</DOC533>
<DOC534>	注意如果坡度很陡，要多给一点油，否则会熄火。</DOC534>
<DOC535>	况且改的并不成功，如果每辆车减价3万够补一亿台，不知一汽是怎麽想的，有点吹大了。</DOC535>
<DOC536>	今天的深圳晚报上有四门硬顶陆风的广告，问之轴距有加长，包牌价好象是17.68万。</DOC536>
<DOC537>	一:价格最高不要超过13W(毕竟是国产的,中华公司不是说已经把成本控制在10W已内了吗?</DOC537>
<DOC538>	我只想拿我开过的车比，没开过的不敢下结论。</DOC538>
<DOC539>	另外，宽10CM在转弯时会稍稳。</DOC539>
<DOC540>	载重方面，宝马最少，只有360千克，如果坐4个成年人，就拉不了多少行李了。</DOC540>
<DOC541>	哪位大虾对多功能车有更深了解?</DOC541>
<DOC542>	我有其他客户的VIP卡，会给您优惠很多的！</DOC542>
<DOC543>	我预言：08年底前后，S40将在长安厂停产。</DOC543>
<DOC544>	如果让我重新选择，我会选海马。</DOC544>
<DOC545>	专业销售瑞风商务车,本公司现有彩色子旅系列.</DOC545>
<DOC546>	有时容易熄火，可能是新车的缘故。</DOC546>
<DOC547>	转眼换新车已经10来天了，因为前面开的也是宝马320，所以操作基本上没有什么新鲜感。</DOC547>
<DOC548>	捷达在性价比上.价格上已经没有优势可言。</DOC548>
<DOC549>	奥迪是世界上质量最次的车.</DOC549>
<DOC550>	将价格订得更人性化一些，真的看看威乐的配置确实远在你所谓的新捷达之上！</DOC550>
<DOC551>	另外，发动机盖缝处有大量的机油喷出，估计是在高速上长时间超过150公里/时速造成的。</DOC551>
<DOC552>	我开了三部捷达车了，都没有你说的那些毛病。</DOC552>
<DOC553>	福美来和菱帅虽然同为日本车，但这两款车的特色和风格却大不相同。</DOC553>
<DOC554>	如做生意用，则最好考虑客货两用等；</DOC554>
<DOC555>	说实话我都不知道是一种什么感觉。</DOC555>
<DOC556>	其实车主只是买了一个BW的壳。</DOC556>
<DOC557>	这样我们有了一条较为理想的发动机输出曲线。</DOC557>
<DOC558>	然后就直接放弃。。。</DOC558>
<DOC559>	我觉得不是，平时转向只是电流声。</DOC559>
<DOC560>	增强隔音效果，增加一些配置，增强中华的性价比，不要再降价，让人感觉是一辆真真的商务车。</DOC560>
<DOC561>	吸取别人的长处，希望我们民族品牌车能加把劲。</DOC561>
<DOC562>	为节约百把块钱，出厂时竟然不配空调空气格。</DOC562>
<DOC563>	孟先生对记者说。　　山东省消费者协会投诉处副主任牟刚介绍说，汽车投诉是调解的一大难点。</DOC563>
<DOC564>	世纪星，侧面不如前面大气好看，似尼桑风度。</DOC564>
<DOC565>	我看了特拉卡，迈腾，荣威７５０这３个车子．</DOC565>
<DOC566>	上汽桑塔纳3000就是降价入市的！</DOC566>
<DOC567>	一看到车，挺有钱的朋友说：‘开这车掉我价’。</DOC567>
<DOC568>	我朋友０５年１月买的马６，比我的君威晚３月．</DOC568>
<DOC569>	算了这些基本可以了，该谈提车时间销售说最多1个月，合同上表明12月24号前交车。</DOC569>
<DOC570>	中华漂亮的外形被那丑陋的前灯葬送的一干二净！</DOC570>
<DOC571>	世嘉技术参数的确比宝来差不少，正时皮带发动机、4前速变速箱……，谁让她方便、实惠呢？</DOC571>
<DOC572>	宽敞的乘坐空间，小型车做成这样确实用了心；</DOC572>
<DOC573>	新车将在墨西哥Puebla工厂首先生产。</DOC573>
<DOC574>	因为新捷达的后面改得太难看了，跟桑塔纳3000一样，都是失败的设计。</DOC574>
<DOC575>	其实买新宝来有点后悔当初为了省点钱，舍弃了速腾和卡罗拉，买了新宝来，其实有点后悔。</DOC575>
<DOC576>	但现在有看上了新贵级，价格和原来的锐级差不多。</DOC576>
<DOC577>	ix35基本同rav4差不多，加速感觉不如rav4，方向盘路感不够清晰，此车未能激烈驾驶，不知侧倾如何？</DOC577>
<DOC578>	其实宝来的设计的确不错，是一款很耐看的车，在同档次的车中它是最有霸气的，价钱贵一点也应该选它。</DOC578>
<DOC579>	我也是一样，如果最近不加气囊，就要买凯越了。</DOC579>
<DOC580>	你胡子。。。。。。？</DOC580>
<DOC581>	就是中华车不争气，死不降价，M2又出不来，就是出来了也是一路高开低走有什么意思支持它哦。</DOC581>
<DOC582>	老夫回应——　　只是一个上班族，平民百姓，积攒了10余年，总算买了辆自己还算满意的车。</DOC582>
<DOC583>	两个来自美国REVOTECHNIK公司的汽车工程师来深圳某机构推广他们的新科技。</DOC583>
<DOC584>	可捷达偏不，柴油版捷达在我们这里，只对的士车主卖，私家车主想买一个柴油版的，没门！</DOC584>
<DOC585>	认为是个不错的选择。</DOC585>
<DOC586>	所以争论他们谁高级，不如谈论宝来更实际些。</DOC586>
<DOC587>	如果实在要面子、不怕风险，买了直接换车标。</DOC587>
<DOC588>	这款红旗旗舰的外观不如以前的老红旗车有品味。</DOC588>
<DOC589>	靠，我只能说，如此下去这两家伙是龟笑鳖没毛，鳖笑龟脖子长~~半斤八两一对衰相。。。</DOC589>
<DOC590>	一家之言，欢迎拍砖，谢绝漫骂！</DOC590>
<DOC591>	以上是我的驾驶心得，愿与大家分享。</DOC591>
<DOC592>	捷达王，样子平庸，符合国人需要。</DOC592>
<DOC593>	只有一台0.8的,别人定过.只让听听机器.</DOC593>
<DOC594>	我宁肯再等上半年,也不买皇冠天籁。</DOC594>
<DOC595>	适合反复在低挡起步超车等...</DOC595>
<DOC596>	吉利的空调效果好于夏利，冬天暖风的效果却都是一样，总体感觉还行。</DOC596>
<DOC597>	速度稍微拉一拉，声音就上去了！</DOC597>
<DOC598>	踏板是塑料的，应该换成金属的。</DOC598>
<DOC599>	因为这是世界汽车工业发展的需要，也是必然。</DOC599>
<DOC600>	那么这种驱动方式的特点是什么？</DOC600>
<DOC601>	你说的是国外，不要与国产高尔夫混为一谈！</DOC601>
<DOC602>	鲜活的生命因为中华车的安全性能不完善而消逝了，这么痛心的事情为什么不让曝光！！！</DOC602>
<DOC603>	新款的蒙迪欧2.3的功率和他相差无几。</DOC603>
<DOC604>	捷达车保险一年在2000元左右；</DOC604>
<DOC605>	在主动安全性方面，新款Nubira的四轮盘式刹车装备了四通路ABS自动防抱死装置。</DOC605>
<DOC606>	说起其中缘由，朋友总是一笑：“买车就像围城一样，没有的时候特别想买，等有了也会后悔。</DOC606>
<DOC607>	欧洲车是好但你也不看看卖什么价，至少日本车的价格和配置上做到了最好。</DOC607>
<DOC608>	内饰也中规中矩，说不上好，但也绝对不差。</DOC608>
<DOC609>	同时我都开了三年的捷达车的了！</DOC609>
<DOC610>	总的来说这是一款让人放心的车，动力够用，底盘舒适，空间也能满足四个1.8米左右的成年人。</DOC610>
<DOC611>	所以担心新三系过贵的朋友大可放心。</DOC611>
<DOC612>	3、牌照架：新宝来的后牌照架设计在保险杠下面，很不显档次，跟过去夏利车一样。</DOC612>
<DOC613>	虽然是细节--我还是很宽容的。</DOC613>
<DOC614>	标准型37800元带安全钢梁，比夏利等同价位的车空间大、功能多，款式新。</DOC614>
<DOC615>	就象"主义"，对比才会知长短吧。</DOC615>
<DOC616>	=========别说人家富康，捷达的噪音、高速稳定性、耗油量都不如富康，维修保养费用也比捷达便宜。</DOC616>
<DOC617>	首保是发现后轮悬空时两轮的摩擦力明显不同（要么轴承配合问题，要么刹车片松紧程度不同）。</DOC617>
<DOC618>	你还别说，现在看路上的捷达，旧款的的确要比新款的好看。</DOC618>
<DOC619>	可是我说这些是希望那些没买车人的千万不要被起亚的企划所蒙蔽误道而用买马的价钱去买条驴!</DOC619>
<DOC620>	我个人认为捷达、爱丽舍、福美来2代这三款车相比，买海马福美来2代1.6GLMT最合适！</DOC620>
<DOC621>	目前，ESP技术在中高档轿车中偶有采用，低档家用轿车采用该项技术吉利在国内是开了先河。</DOC621>
<DOC622>	连BENZ,BMW都不敢说这话!</DOC622>
<DOC623>	约计到年底我门将有个新的突破。</DOC623>
<DOC624>	虽然改进了21项基本没什么用的。</DOC624>
<DOC625>	车辆的动力就不多描述了，反正和老夏利差不多，对付市内道路绰绰有余。</DOC625>
<DOC626>	九W，大空间CVT，还想要啥？</DOC626>
<DOC627>	缺点：噪音大，操控欠佳，做工粗；</DOC627>
<DOC628>	有人说308的悬挂是板车，但是我觉得开起来转弯还不错，可能是横向稳定杆还是起点作用吧。</DOC628>
<DOC629>	第四：我认为要买MPV，首先要看用途，从舒服的角度考虑，我认为风行车太小，坐着感觉没有瑞风舒服。</DOC629>
<DOC630>	又要价格便宜,又要质量好.总不可能亏本卖吧?</DOC630>
<DOC631>	诱人的高级配置，可以和几十万的高档车媲美；</DOC631>
<DOC632>	减震，过减速带，比面包车那是要强很多，反正比骊威不差。</DOC632>
<DOC633>	我认为一汽这么做一是把宝来的潜在用户当"冤大头"耍,二是有点"穷急饿疯"的感觉.</DOC633>
<DOC634>	说明书错误百出，有时一页上能找出好几处。</DOC634>
